claim_id,policy_id,claim_date,claim_type,claim_amount,status
CLM00001,POL00030,2024-02-25,Bris de glace,8875.58,Clos
CLM00002,POL00117,2023-09-28,Dégât des eaux,8303.85,Clos
CLM00003,POL00079,14/02/2023,Vol,14723.69,En cours d'expertise
CLM00004,POL00109,2024-12-06,Sinistre matériel,9809.77,Ouvert
CLM00005,POL00121,06/03/2023,Dégât des eaux,3362.67,En cours d'expertise
CLM00006,POL00166,10/05/2025,Dégât des eaux,8156.39,Clos
CLM00007,POL00175,2026-01-09,Vol,2267.6,Clos
CLM00008,POL00187,2024-04-01,Sinistre matériel,17616.06,En cours d'expertise
CLM00009,POL00137,2025-02-15,Sinistre corporel,8372.16,Ouvert
CLM00010,POL00186,2023-08-20,Dégât des eaux,11126.38,Ouvert
CLM00011,POL00018,2023-07-26,Sinistre matériel,8118.97,Ouvert
CLM00012,POL00012,03/04/2025,Sinistre corporel,9784.71,Ouvert
CLM00013,POL00075,2024-04-24,Bris de glace,5842.43,En cours d'expertise
CLM00014,POL00061,2024-09-10,Bris de glace,4095.61,Ouvert
CLM00015,POL00152,2023-12-25,Dégât des eaux,10071.93,Clos
CLM00016,POL00172,2025-02-19,Vol,12579.11,Clos
CLM00017,POL00194,06/01/2026,Sinistre corporel,15310.74,En cours d'expertise
CLM00018,POL00119,2023-04-29,Dégât des eaux,17424.98,Ouvert
CLM00019,POL00066,21/02/2024,Sinistre matériel,16611.74,Ouvert
CLM00020,POL00213,2024-01-26,Vol,6882.45,Ouvert
CLM00021,POL00049,2026-04-18,Bris de glace,4023.74,Clos
CLM00022,POL00004,2024-03-09,Sinistre matériel,13481.79,Ouvert
CLM00023,POL00181,23/02/2024,Sinistre corporel,10004.62,Clos
CLM00024,POL00167,05/01/2025,Vol,6569.66,Clos
CLM00025,POL00185,19/08/2025,Sinistre corporel,6767.08,En cours d'expertise
CLM00026,POL00190,2023-10-26,Vol,10026.61,En cours d'expertise
CLM00027,POL00040,06/02/2024,Sinistre corporel,6930.14,Clos
CLM00028,POL00176,22/11/2024,Dégât des eaux,17402.17,Clos
CLM00029,POL00188,2024-12-22,Sinistre corporel,13007.6,En cours d'expertise
CLM00030,POL00016,2025-12-09,Sinistre matériel,17021.61,Ouvert
CLM00031,POL00216,2026-07-15,Sinistre matériel,115401.3,Clos
CLM00032,POL00164,16/06/2026,Dégât des eaux,430.81,Clos
CLM00033,POL09542,2024-07-16,Vol,456.0,En cours d'expertise
CLM00034,POL00046,2023-08-08,Bris de glace,2807.82,En cours d'expertise
CLM00035,POL00091,01/07/2024,Sinistre matériel,6808.97,En cours d'expertise
CLM00036,POL00179,07/04/2024,Sinistre matériel,11819.18,Ouvert
CLM00037,POL00098,2025-02-11,Dégât des eaux,91996.85,Clos
CLM00038,POL00166,2024-11-09,Sinistre matériel,16122.02,Ouvert
CLM00039,POL00178,06/03/2026,Vol,981.13,Clos
CLM00040,POL00145,2023-03-09,Vol,429.5,Ouvert
CLM00041,POL00183,2025-03-26,Vol,3049.74,Clos
CLM00042,POL00139,10/11/2024,Sinistre corporel,14260.39,Ouvert
CLM00043,POL00089,2023-04-20,Dégât des eaux,4293.77,En cours d'expertise
CLM00044,POL00153,23/03/2025,Sinistre matériel,11469.09,Clos
CLM00045,POL00092,06/02/2026,Dégât des eaux,3465.42,Clos
CLM00046,POL00159,2024-08-27,Sinistre matériel,1614.38,En cours d'expertise
CLM00047,POL00040,08/03/2025,Vol,101578.72,Clos
CLM00048,POL00027,2023-09-29,Sinistre corporel,7842.98,En cours d'expertise
CLM00049,POL00007,03/07/2023,Bris de glace,1811.2,Clos
CLM00050,POL00004,20/08/2024,Dégât des eaux,14058.17,En cours d'expertise
CLM00051,POL00063,2026-03-17,Sinistre corporel,12382.89,Clos
CLM00052,POL00127,2023-10-26,Sinistre corporel,7908.97,Clos
CLM00053,POL00093,2024-05-30,Dégât des eaux,10749.44,Ouvert
CLM00054,POL00002,21/03/2025,Bris de glace,6931.04,Clos
CLM00055,POL00209,2026-05-02,Vol,5873.87,Ouvert
CLM00056,POL00046,26/03/2025,Vol,13267.51,En cours d'expertise
CLM00057,POL00084,09/02/2025,Dégât des eaux,6665.53,Ouvert
CLM00058,POL00140,2024-01-04,Bris de glace,630.45,En cours d'expertise
CLM00059,POL00205,2024-08-19,Sinistre matériel,14768.54,Clos
CLM00060,POL00036,21/07/2026,Sinistre corporel,4660.37,Clos
CLM00061,POL00019,2025-07-08,Dégât des eaux,10543.06,En cours d'expertise
CLM00062,POL00010,2025-01-06,Bris de glace,10749.69,Ouvert
CLM00063,POL00169,2024-12-28,Bris de glace,940.7,En cours d'expertise
CLM00064,POL00193,10/11/2024,Sinistre matériel,338.28,En cours d'expertise
CLM00065,POL00143,2026-04-03,Bris de glace,4095.42,Clos
CLM00066,POL00151,2025-10-21,Vol,17958.99,Clos
CLM00067,POL00022,2023-08-26,Sinistre corporel,6367.67,Ouvert
CLM00068,POL00090,2025-09-02,Dégât des eaux,13037.59,Ouvert
CLM00069,POL00208,2023-08-24,Vol,11716.26,Ouvert
CLM00070,POL00190,2024-05-14,Sinistre corporel,10001.6,Clos
CLM00071,POL00060,2025-04-09,Sinistre corporel,3477.01,Clos
CLM00072,POL09628,09/02/2024,Bris de glace,95035.73,Clos
CLM00073,POL00208,2023-05-09,Sinistre matériel,14421.12,Clos
CLM00074,POL00118,22/08/2023,Dégât des eaux,9569.71,En cours d'expertise
CLM00075,POL00101,2026-04-17,Vol,6432.93,Ouvert
CLM00076,POL00181,2024-09-01,Bris de glace,1662.82,Ouvert
CLM00077,POL00030,10/01/2024,Sinistre corporel,9268.22,Ouvert
CLM00078,POL00109,16/01/2024,Bris de glace,12527.78,Ouvert
CLM00079,POL00126,2024-08-14,Sinistre corporel,5765.25,Ouvert
CLM00080,POL00003,2025-09-19,Sinistre corporel,14701.6,En cours d'expertise
CLM00081,POL00105,04/10/2025,Dégât des eaux,8873.29,Ouvert
CLM00082,POL00057,2024-08-21,Vol,4163.45,Clos
CLM00083,POL00198,2025-10-11,Bris de glace,2170.82,En cours d'expertise
CLM00084,POL00094,2026-01-15,Dégât des eaux,9902.41,Ouvert
CLM00085,POL00168,21/05/2024,Sinistre matériel,8177.72,Ouvert
CLM00086,POL00031,2024-04-30,Bris de glace,12451.03,En cours d'expertise
CLM00087,POL00043,2026-06-15,Sinistre corporel,14671.51,En cours d'expertise
CLM00088,POL00072,2026-05-07,Sinistre corporel,5927.22,Clos
CLM00089,POL00220,2025-11-19,Sinistre matériel,2570.26,Clos
CLM00090,POL00071,2023-09-17,Sinistre corporel,4606.74,Ouvert
CLM00091,POL00174,15/03/2025,Sinistre corporel,10457.05,Clos
CLM00092,POL00020,2026-07-21,Dégât des eaux,9353.7,Clos
CLM00093,POL00125,2024-11-01,Sinistre matériel,15660.0,Ouvert
CLM00094,POL00118,2026-07-24,Vol,15324.4,Clos
CLM00095,POL00110,09/03/2024,Vol,5913.14,En cours d'expertise
CLM00096,POL00145,20/09/2025,Sinistre matériel,970.08,Clos
CLM00097,POL09951,20/11/2023,Dégât des eaux,162.07,Ouvert
CLM00098,POL00034,2024-09-10,Vol,1816.12,Ouvert
CLM00099,POL00167,2023-12-05,Dégât des eaux,11317.04,Ouvert
CLM00100,POL00024,2023-07-14,Sinistre corporel,8661.0,Ouvert
CLM00101,POL00114,2023-01-20,Vol,14735.4,Clos
CLM00102,POL00123,2023-05-26,Dégât des eaux,1744.56,Ouvert
CLM00103,POL00077,08/10/2023,Sinistre corporel,11602.13,Ouvert
CLM00104,POL00003,2026-06-03,Sinistre corporel,8005.77,En cours d'expertise
CLM00105,POL00106,2026-06-15,Dégât des eaux,15500.33,Ouvert
CLM00106,POL00032,2026-04-22,Dégât des eaux,6424.91,Ouvert
CLM00107,POL00166,2023-06-22,Bris de glace,10877.83,Clos
CLM00108,POL00177,2023-02-24,Vol,3817.21,Ouvert
CLM00109,POL00076,2023-04-22,Dégât des eaux,7038.06,En cours d'expertise
CLM00110,POL00136,25/01/2023,Vol,2505.89,En cours d'expertise
CLM00111,POL00140,20/12/2023,Sinistre matériel,447.91,Clos
CLM00112,POL00016,2025-03-26,Vol,11369.99,Clos
CLM00113,POL00103,2023-06-18,Bris de glace,9747.15,Ouvert
CLM00114,POL00131,2024-02-21,Bris de glace,5982.49,En cours d'expertise
CLM00115,POL00017,2024-09-27,Dégât des eaux,13179.76,Ouvert
CLM00116,POL00112,26/08/2023,Bris de glace,11017.66,En cours d'expertise
CLM00117,POL00045,2023-09-02,Sinistre corporel,12671.77,Clos
CLM00118,POL00201,2024-06-14,Vol,2415.71,Clos
CLM00119,POL00031,02/03/2023,Dégât des eaux,5004.85,En cours d'expertise
CLM00120,POL00161,07/06/2023,Dégât des eaux,9267.46,En cours d'expertise
CLM00121,POL00041,2024-06-06,Bris de glace,12183.05,En cours d'expertise
CLM00122,POL00012,2023-01-26,Sinistre matériel,8571.0,Ouvert
CLM00123,POL00220,2023-03-14,Dégât des eaux,4157.6,En cours d'expertise
CLM00124,POL00212,2023-06-09,Vol,2281.31,Ouvert
CLM00125,POL00206,2025-11-22,Dégât des eaux,1380.34,Clos
CLM00126,POL00080,2024-11-01,Bris de glace,8302.92,Clos
CLM00127,POL00078,2026-06-29,Dégât des eaux,6723.68,Ouvert
CLM00128,POL00140,2024-05-17,Sinistre matériel,16793.3,En cours d'expertise
CLM00129,POL00215,20/01/2023,Sinistre matériel,13696.89,En cours d'expertise
CLM00130,POL00027,2024-02-25,Sinistre corporel,7643.71,Ouvert
CLM00131,POL00024,2023-03-31,Bris de glace,7523.06,Clos
CLM00132,POL00022,2026-04-04,Bris de glace,2533.22,Ouvert
CLM00133,POL00016,2025-06-09,Sinistre corporel,4376.38,Clos
CLM00134,POL00101,30/10/2024,Dégât des eaux,5004.41,Ouvert
CLM00135,POL00198,2026-04-12,Sinistre corporel,2035.99,Clos
CLM00136,POL00138,2025-01-03,Dégât des eaux,5653.29,Ouvert
CLM00137,POL00207,2024-09-15,Bris de glace,869.89,Clos
CLM00138,POL00183,23/05/2024,Dégât des eaux,9315.26,Clos
CLM00139,POL00045,05/03/2023,Dégât des eaux,10073.77,Ouvert
CLM00140,POL00206,2023-10-14,Sinistre matériel,1250.79,Ouvert
CLM00141,POL00211,31/03/2025,Sinistre matériel,10544.48,Ouvert
CLM00142,POL09066,2024-02-09,Dégât des eaux,14595.98,Clos
CLM00143,POL00119,2023-04-14,Bris de glace,7881.84,Clos
CLM00144,POL09699,2025-05-23,Vol,3982.68,Clos
CLM00145,POL00039,2023-03-12,Bris de glace,11163.04,Clos
CLM00146,POL00141,2025-09-08,Sinistre matériel,5144.0,Ouvert
CLM00147,POL00205,2025-12-12,Bris de glace,14338.01,En cours d'expertise
CLM00148,POL00140,19/09/2025,Bris de glace,9117.72,Ouvert
CLM00149,POL09611,2024-03-24,Vol,1195.85,En cours d'expertise
CLM00150,POL00150,2024-04-21,Sinistre matériel,4574.25,En cours d'expertise
CLM00151,POL00189,2023-04-25,Bris de glace,15260.12,Clos
CLM00152,POL00217,2023-12-22,Sinistre corporel,10726.47,En cours d'expertise
CLM00153,POL00152,2023-02-27,Vol,17063.92,En cours d'expertise
CLM00154,POL00215,2025-10-05,Vol,3283.69,Ouvert
CLM00155,POL00057,2023-02-10,Dégât des eaux,162.2,Ouvert
CLM00156,POL00088,30/12/2023,Sinistre matériel,541.15,Ouvert
CLM00157,POL00217,13/12/2025,Sinistre matériel,6818.6,Clos
CLM00158,POL00087,10/09/2024,Sinistre corporel,17569.11,Clos
CLM00159,POL00125,2024-10-11,Bris de glace,12530.05,Clos
CLM00160,POL00151,26/12/2023,Vol,13251.81,Ouvert
CLM00161,POL00180,19/03/2026,Bris de glace,728.03,En cours d'expertise
CLM00162,POL00145,02/08/2023,Sinistre corporel,6061.36,Clos
CLM00163,POL00043,2026-07-26,Vol,8122.34,Ouvert
CLM00164,POL00090,2024-06-09,Sinistre matériel,1009.43,Clos
CLM00165,POL00106,06/10/2025,Vol,9896.53,Clos
CLM00166,POL00148,2024-04-06,Dégât des eaux,1465.71,Clos
CLM00167,POL09267,2023-08-03,Vol,3186.38,En cours d'expertise
CLM00168,POL00024,2024-11-23,Bris de glace,16094.09,Clos
CLM00169,POL00043,28/05/2026,Sinistre corporel,1105.97,Ouvert
CLM00170,POL00142,11/01/2026,Vol,5458.6,Clos
CLM00171,POL00216,2025-10-02,Sinistre matériel,6590.8,Clos
CLM00172,POL00161,14/05/2026,Sinistre corporel,,En cours d'expertise
CLM00173,POL00021,2025-08-27,Vol,14160.05,En cours d'expertise
CLM00174,POL00165,19/01/2026,Sinistre corporel,6772.72,Ouvert
CLM00175,POL00068,19/06/2025,Vol,4188.42,Ouvert
CLM00176,POL00179,2023-07-18,Vol,14576.02,En cours d'expertise
CLM00177,POL00016,2025-03-03,Dégât des eaux,17386.45,Clos
CLM00178,POL00061,02/09/2025,Sinistre matériel,7197.26,Ouvert
CLM00179,POL00133,2026-03-16,Bris de glace,2781.94,Clos
CLM00180,POL00043,2024-03-09,Sinistre corporel,911.76,En cours d'expertise
CLM00181,POL00211,2026-07-08,Bris de glace,4753.27,Ouvert
CLM00182,POL00143,2025-03-24,Vol,15440.74,Ouvert
CLM00183,POL00160,2026-04-18,Dégât des eaux,2158.46,En cours d'expertise
CLM00184,POL00195,2023-07-25,Bris de glace,14064.87,En cours d'expertise
CLM00185,POL00106,24/06/2024,Dégât des eaux,10360.61,Ouvert
CLM00186,POL00037,2026-06-20,Dégât des eaux,842.27,Clos
CLM00187,POL00013,31/08/2025,Vol,511.16,Clos
