policy_id,client_id,country,product,premium_amount,currency,start_date,status
POL00001,CLI0027,FR,Auto,1826.24,EUR,2025-10-17,Suspendue
POL00002,CLI0007,LU,Auto,246.15,EUR,2025-02-23,Suspendue
POL00003,CLI0041,LU,Habitation,1177.24,EUR,30/11/2025,Résiliée
POL00004,CLI0089,BE,Santé,406.91,EUR,21/05/2025,Active
POL00005,CLI0093,FR,Prévoyance,354.94,EUR,2025-03-28,Suspendue
POL00006,CLI0098,BE,Santé,2367.19,EUR,24/07/2023,Suspendue
POL00007,CLI0019,BE,Santé,968.7,EUR,2025-06-01,Active
POL00008,CLI0143,BE,Habitation,1206.22,EUR,2023-03-26,Résiliée
POL00009,CLI0017,FR,Habitation,2004.4,EUR,2023-03-09,Suspendue
POL00010,CLI0036,LU,Prévoyance,2144.0,EUR,2023-05-21,Suspendue
POL00011,CLI0127,LU,Prévoyance,983.63,EUR,2022-07-06,Active
POL00012,CLI0120,BE,Prévoyance,1504.03,EUR,19/12/2024,Suspendue
POL00013,CLI0088,FR,Auto,1693.4,EUR,17/08/2022,Résiliée
POL00014,CLI0028,FR,Santé,2337.59,EUR,04/07/2025,Suspendue
POL00015,CLI0136,BE,Habitation,1010.09,EUR,2022-01-02,Résiliée
POL00016,CLI0015,FR,Santé,2130.76,EUR,2023-05-09,Active
POL00017,CLI0122,LU,Auto,2351.13,EUR,2025-01-30,Résiliée
POL00018,CLI0080,LU,Habitation,2242.19,EUR,2024-03-28,Suspendue
POL00019,CLI0142,,Auto,730.35,EUR,2023-04-17,Active
POL00020,CLI0085,FR,Habitation,,EUR,2022-05-26,Active
POL00021,CLI0148,LU,Habitation,1377.1,EUR,2024-08-26,Résiliée
POL00022,CLI0120,BE,Auto,395.19,EUR,2026-02-02,Suspendue
POL00023,CLI0064,FR,Auto,1073.82,EUR,2023-01-28,Suspendue
POL00024,CLI0114,LU,Habitation,798.37,EUR,2025-02-01,Active
POL00025,CLI0125,FR,Auto,2236.53,EUR,2024-09-12,Résiliée
POL00026,CLI0117,BE,Prévoyance,184.78,EUR,08/08/2023,Suspendue
POL00027,CLI0139,LU,Habitation,601.57,EUR,2022-05-05,Résiliée
POL00028,CLI0018,LU,Habitation,306.27,EUR,2025-05-03,Suspendue
POL00029,CLI0011,LU,Auto,2270.34,EUR,2025-06-22,Résiliée
POL00030,CLI0102,CH,Santé,633.46,CHF,2022-09-26,Suspendue
POL00031,CLI0026,CH,Auto,200.68,CHF,2022-05-31,Active
POL00032,CLI0041,BE,Santé,2135.52,EUR,2024-06-16,Suspendue
POL00033,CLI0068,FR,Santé,2248.5,EUR,2022-08-25,Suspendue
POL00034,CLI0068,CH,Santé,1522.72,CHF,01/11/2024,Résiliée
POL00035,CLI0086,FR,Auto,1588.11,EUR,2026-04-29,Suspendue
POL00036,CLI0020,BE,Prévoyance,-1404.73,EUR,2025-11-16,Suspendue
POL00037,CLI0011,CH,Habitation,1134.13,CHF,2024-01-03,Suspendue
POL00038,CLI0040,FR,Santé,1911.86,EUR,2023-04-30,Active
POL00039,CLI0064,FR,Habitation,1815.17,EUR,2023-07-01,Suspendue
POL00040,CLI0079,FR,Prévoyance,673.8,EUR,2023-04-12,Active
POL00041,CLI0090,LU,Santé,798.5,EUR,2025-08-06,Résiliée
